sku,manufacturer_guess,category_guess,room_name,archetype,level,hit_count_in_file,source_txt
T4A3386,Unknown,Unknown,3 Hinge T4A3386 x NRP US32D MK,Unknown,,3,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/23304 - Home2 GlenwoodSpringsCO - 100percent Final Bid Pkg - VOL-1 SPEC.pdf__7a0c289be149.txt
T4A3786,Unknown,Unknown,3 Hinge T4A3786 x NRP US26D MK,Unknown,,8,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/23304 - Home2 GlenwoodSpringsCO - 100percent Final Bid Pkg - VOL-1 SPEC.pdf__7a0c289be149.txt
TS-PDX-IC64,TS,Unknown,1 Triad Speakers TS-PDX-IC64 30 mins,Unknown,Level 1,13,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/A_V-FullDistributionV3.pdf__e70482a12108.txt
AN-820-AP-I,Araknis,Networking,1 Araknis Networks AN-820-AP-I 1 hr,Unknown,Level 1,9,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/A_V-FullDistributionV3.pdf__e70482a12108.txt
TS-PDX-IC85,TS,Unknown,2 Triad Speakers TS-PDX-IC85 1 hr,Unknown,Level 1,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/A_V-FullDistributionV3.pdf__e70482a12108.txt
AN-520-AP-O,Araknis,Networking,1 Araknis Networks AN-520-AP-O 1 hr,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/A_V-FullDistributionV3.pdf__e70482a12108.txt
TS-PAMP8-125-V2,TS,Amplifier,TS Triad Power Amplifier,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/A_V-FullDistributionV3.pdf__e70482a12108.txt
TS-AMS16,TS,Audio Matrix,AMS Audio Matrix Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/A_V-FullDistributionV3.pdf__e70482a12108.txt
EA-AMP-HYB-2D-1000,Control4,Controller,1 Episode EA-AMP-HYB-2D-1000 1 hr,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/A_V-FullDistributionV3.pdf__e70482a12108.txt
TS-AMS8-V2,TS,Audio Matrix,AMS Audio Matrix Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/A_V-FullDistributionV3.pdf__e70482a12108.txt
AN-920-SW-F-24-POE,Araknis,Networking,920 L3 Managed 10G PoE++ Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/A_V-FullDistributionV3.pdf__e70482a12108.txt
AN-620-SW-R-24-POE,Araknis,Networking,620 L3 Managed Multi-Gig PoE++ Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/A_V-FullDistributionV3.pdf__e70482a12108.txt
AN-520-RT,Araknis,Networking,520-Series Dual-WAN Rtr,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Beaux Foy 18 Rosecrown P-67 18 Rosecrown Q-102 V2 _1_.pdf__34b32d27f575.txt
AN-620-SW-R-8-POE,Araknis,Networking,620 L3 Managed Multi-Gig PoE++ Switch,Unknown,,2,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Beaux Foy 18 Rosecrown P-67 18 Rosecrown Q-102 V2 _1_.pdf__34b32d27f575.txt
AN-820-AP-I,Araknis,Networking,ITEM QTY UNIT PRICE TOTAL,Unknown,,8,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Beaux Foy 18 Rosecrown P-67 18 Rosecrown Q-102 V2 _1_.pdf__34b32d27f575.txt
AN-320-SW-R-8,Araknis,Networking,ITEM QTY UNIT PRICE TOTAL,Unknown,Level 1,4,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Beaux Foy 18 Rosecrown P-67 18 Rosecrown Q-102 V2 _1_.pdf__34b32d27f575.txt
CA-1,Control4,Controller,CA-1 Hub and Automation Controller,Unknown,,3,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Beaux Foy 18 Rosecrown P-67 18 Rosecrown Q-102 V2 _1_.pdf__34b32d27f575.txt
EA-AMP-HYB-2D-1000,Control4,Controller,70V/8-ohm IP-Enabled Amplifier,Unknown,,3,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Beaux Foy 18 Rosecrown P-67 18 Rosecrown Q-102 V2 _1_.pdf__34b32d27f575.txt
