=== LISTENING TCP PORTS ===
COMMAND    PID USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
rapportd   635  bob   10u  IPv4 0xaee2bb908815e2d2      0t0  TCP *:49168 (LISTEN)
rapportd   635  bob   11u  IPv6 0xd18673dc570bc010      0t0  TCP *:49168 (LISTEN)
Python     658  bob    3u  IPv4 0xeff63addc42433a4      0t0  TCP *:8199 (LISTEN)
Python     661  bob    6u  IPv4 0xc85439288e01009b      0t0  TCP *:8421 (LISTEN)
Python     667  bob   34u  IPv4 0x4a6a6e86a846a997      0t0  TCP 127.0.0.1:8103 (LISTEN)
Python     669  bob    3u  IPv4 0x608672359ce716ae      0t0  TCP 127.0.0.1:8088 (LISTEN)
BlueBubbl  671  bob   63u  IPv6 0x7ae16eb0130ec23a      0t0  TCP *:1234 (LISTEN)
BlueBubbl  671  bob   70u  IPv6 0xc66d52f72fef087c      0t0  TCP [::1]:45670 (LISTEN)
Python     672  bob    3u  IPv4 0x6ff1cf8c4226c0bd      0t0  TCP 127.0.0.1:8801 (LISTEN)
ControlCe  682  bob    9u  IPv4 0x4ea8374749d74ec3      0t0  TCP *:7000 (LISTEN)
ControlCe  682  bob   10u  IPv6 0x6d28d59e2977ac4b      0t0  TCP *:7000 (LISTEN)
ControlCe  682  bob   11u  IPv4 0x2822ad57ce53ade9      0t0  TCP *:5000 (LISTEN)
ControlCe  682  bob   12u  IPv6 0x168a55c4b4419666      0t0  TCP *:5000 (LISTEN)
ollama     975  bob    4u  IPv6 0xaff1935b5fb6835e      0t0  TCP *:11434 (LISTEN)
Dropbox   1015  bob  220u  IPv4 0xedd946859c490110      0t0  TCP 127.0.0.1:17600 (LISTEN)
Dropbox   1015  bob  229u  IPv4 0x3d4164a5300ff8db      0t0  TCP 127.0.0.1:17603 (LISTEN)
com.docke 9559  bob   90u  IPv4 0xc13114ddc6d03f8f      0t0  TCP 127.0.0.1:8094 (LISTEN)
com.docke 9559  bob  162u  IPv4  0x361fd28fc1bdb99      0t0  TCP 127.0.0.1:8091 (LISTEN)
com.docke 9559  bob  171u  IPv4 0xe1ca175e61cca394      0t0  TCP 127.0.0.1:6379 (LISTEN)
com.docke 9559  bob  191u  IPv4 0x6383070cbd70f46b      0t0  TCP 127.0.0.1:8430 (LISTEN)
com.docke 9559  bob  192u  IPv4 0x725c48c5d85f3c08      0t0  TCP 127.0.0.1:8096 (LISTEN)
com.docke 9559  bob  195u  IPv4 0xbab68f91c5cdc5a8      0t0  TCP 127.0.0.1:8115 (LISTEN)
com.docke 9559  bob  197u  IPv4 0xaa0da8bb2e4de845      0t0  TCP 127.0.0.1:8102 (LISTEN)
com.docke 9559  bob  204u  IPv4 0x555e53c2339044a8      0t0  TCP 127.0.0.1:8765 (LISTEN)
com.docke 9559  bob  206u  IPv4 0x16e901f636ec6065      0t0  TCP 127.0.0.1:8099 (LISTEN)
com.docke 9559  bob  215u  IPv4 0x99a25a34186e902b      0t0  TCP 127.0.0.1:8092 (LISTEN)
com.docke 9559  bob  294u  IPv4 0x8bb0c5989dfbeb9e      0t0  TCP 127.0.0.1:8101 (LISTEN)
com.docke 9559  bob  322u  IPv4 0x211fd0cb9c1e8eb5      0t0  TCP 127.0.0.1:8095 (LISTEN)
com.docke 9559  bob  324u  IPv4 0x74385889b99ad219      0t0  TCP 127.0.0.1:8093 (LISTEN)
com.docke 9559  bob  507u  IPv4 0x123ced6274416391      0t0  TCP 127.0.0.1:8097 (LISTEN)
ollama    9726  bob    5u  IPv4  0x87074c675c0b665      0t0  TCP 127.0.0.1:53226 (LISTEN)

=== IMPORTANT AI-SERVER PORTS ===
Python     658  bob    3u  IPv4 0xeff63addc42433a4      0t0  TCP *:8199 (LISTEN)
Python     661  bob    6u  IPv4 0xc85439288e01009b      0t0  TCP *:8421 (LISTEN)
Python     667  bob   34u  IPv4 0x4a6a6e86a846a997      0t0  TCP 127.0.0.1:8103 (LISTEN)
Python     669  bob    3u  IPv4 0x608672359ce716ae      0t0  TCP 127.0.0.1:8088 (LISTEN)
BlueBubbl  671  bob   63u  IPv6 0x7ae16eb0130ec23a      0t0  TCP *:1234 (LISTEN)
Python     672  bob    3u  IPv4 0x6ff1cf8c4226c0bd      0t0  TCP 127.0.0.1:8801 (LISTEN)
ollama     975  bob    4u  IPv6 0xaff1935b5fb6835e      0t0  TCP *:11434 (LISTEN)
com.docke 9559  bob  197u  IPv4 0xaa0da8bb2e4de845      0t0  TCP 127.0.0.1:8102 (LISTEN)
