COMMAND     PID USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
ControlCe   633  bob    9u  IPv4 0x78544a03c73c3d03      0t0  TCP *:7000 (LISTEN)
ControlCe   633  bob   10u  IPv6 0x442d6824834d75c3      0t0  TCP *:7000 (LISTEN)
ControlCe   633  bob   11u  IPv4 0x95a66776fe2da3c2      0t0  TCP *:5000 (LISTEN)
ControlCe   633  bob   12u  IPv6 0x239d0b5f6175fdec      0t0  TCP *:5000 (LISTEN)
rapportd    639  bob   10u  IPv4 0x719501c18b375cfe      0t0  TCP *:49161 (LISTEN)
rapportd    639  bob   11u  IPv6 0x599b50ff68d0952a      0t0  TCP *:49161 (LISTEN)
rapportd    639  bob   19u  IPv6 0x4c024203c4c028a4      0t0  TCP [fe80:b::82f:f8d8:224a:892c]:49161->[fe80:b::8cf:db23:fd07:d42]:49850 (ESTABLISHED)
rapportd    639  bob   20u  IPv6 0xd1b4528faf20bf89      0t0  TCP [fe80:b::82f:f8d8:224a:892c]:49221->[fe80:b::c68:f57b:87d9:6b21]:49153 (ESTABLISHED)
rapportd    639  bob   21u  IPv6 0xd95b894d9b02ae7e      0t0  TCP [fe80:b::82f:f8d8:224a:892c]:49161->[fe80:b::87f:68ac:a586:bb0d]:63915 (ESTABLISHED)
rapportd    639  bob   23u  IPv6 0xc98e406104722711      0t0  TCP *:53356 (LISTEN)
rapportd    639  bob   26u  IPv6 0x540e17568be00ccc      0t0  TCP *:53357 (LISTEN)
rapportd    639  bob   27u  IPv6 0xd3d97491d67401da      0t0  TCP [fe80:b::82f:f8d8:224a:892c]:49218->[fe80:b::185e:4df0:9bcf:5a4a]:49153 (ESTABLISHED)
rapportd    639  bob   28u  IPv6 0x7e6e156bc0c4a276      0t0  TCP [fe80:b::82f:f8d8:224a:892c]:49219->[fe80:b::1850:e848:9894:1c7c]:49153 (ESTABLISHED)
Dropbox     705  bob   73u  IPv4 0xf2aa09dd0b591331      0t0  TCP 192.168.1.189:53363->162.125.40.1:443 (ESTABLISHED)
Dropbox     705  bob   94u  IPv4 0xad19b0641db06815      0t0  TCP 192.168.1.189:53566->162.125.40.2:443 (ESTABLISHED)
Dropbox     705  bob  200u  IPv4 0xc312642f260ee677      0t0  TCP 127.0.0.1:17600 (LISTEN)
Dropbox     705  bob  206u  IPv4 0x314ab954c64f0fd1      0t0  TCP 127.0.0.1:17603 (LISTEN)
Python      749  bob   33u  IPv4 0xf4e1a0f6995da136      0t0  TCP 127.0.0.1:8103 (LISTEN)
Python      749  bob   35u  IPv4 0x4652ea4e64136e30      0t0  TCP 127.0.0.1:54179->127.0.0.1:6379 (ESTABLISHED)
Python      762  bob    3u  IPv4 0x9c731cd6b73b6c26      0t0  TCP 127.0.0.1:8088 (LISTEN)
BlueBubbl   768  bob   63u  IPv6 0x587fd23e4070ccfe      0t0  TCP *:1234 (LISTEN)
BlueBubbl   768  bob   85u  IPv6 0x4a6eb95d2f643fad      0t0  TCP [::1]:45670 (LISTEN)
ollama      770  bob    4u  IPv4 0xdde707d1b94cf655      0t0  TCP 127.0.0.1:11434 (LISTEN)
Python      778  bob    3u  IPv4 0x578b9e223e14070c      0t0  TCP 127.0.0.1:8801 (LISTEN)
Python      798  bob    9u  IPv4 0xae4751367143eda4      0t0  TCP 192.168.1.189:49568->149.154.166.110:443 (CLOSE_WAIT)
Python      798  bob   10u  IPv4 0x320b2fb65a2dfbd5      0t0  TCP 192.168.1.189:54170->149.154.166.110:443 (ESTABLISHED)
Tailscale   824  bob   10u  IPv4 0x3ae469a91eba13e7      0t0  TCP 127.0.0.1:49224->127.0.0.1:49163 (ESTABLISHED)
DropboxFi  1161  bob   25u  IPv4 0x2742cde94495de26      0t0  TCP 192.168.1.189:53497->162.125.40.1:443 (ESTABLISHED)
DropboxFi  1161  bob   31u  IPv4 0x59244ead64a48211      0t0  TCP 192.168.1.189:53494->162.125.40.2:443 (ESTABLISHED)
com.docke  1373  bob   16u  IPv4  0xad8b1aae906b1d7      0t0  TCP 192.168.1.189:50767->18.154.101.112:443 (CLOSED)
com.docke  1373  bob   17u  IPv4 0xd238453ffc33b33d      0t0  TCP 192.168.1.189:54178->162.159.140.245:443 (ESTABLISHED)
com.docke  1373  bob   20u  IPv4  0xbaf4293a5520364      0t0  TCP 192.168.1.189:51523->40.119.12.71:443 (CLOSED)
com.docke  1373  bob   77u  IPv4 0xba97cf0b819179dd      0t0  TCP 192.168.1.189:49990->40.119.12.71:443 (CLOSED)
com.docke  1373  bob   86u  IPv4 0xcc8c8598214278b5      0t0  TCP 192.168.1.189:49994->34.210.109.146:443 (CLOSED)
com.docke  1373  bob  110u  IPv4 0xe7bf52a71c28cb52      0t0  TCP 192.168.1.189:50789->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  134u  IPv4 0xdce56c527bf759a9      0t0  TCP 192.168.1.189:50444->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  142u  IPv4 0x76acac2cd16c2548      0t0  TCP 192.168.1.189:51170->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  154u  IPv4 0xaa2dedfbff2b2b76      0t0  TCP 192.168.1.189:50438->172.64.147.211:443 (CLOSED)
com.docke  1373  bob  155u  IPv4 0x619405568e49f903      0t0  TCP 192.168.1.189:51172->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  156u  IPv4 0x1ae4da5a4a549ce4      0t0  TCP 127.0.0.1:8095 (LISTEN)
com.docke  1373  bob  158u  IPv4 0xb1f387ca86bc2e3c      0t0  TCP 192.168.1.189:53854->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  159u  IPv4 0x8e2bde85be9a7c85      0t0  TCP 192.168.1.189:52733->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  161u  IPv4 0x3f51c924b8bc35f3      0t0  TCP 192.168.1.189:52395->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  162u  IPv4 0xc5fe51977f71c92b      0t0  TCP 192.168.1.189:52735->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  164u  IPv4 0xc22a3858a3a84d4a      0t0  TCP 192.168.1.189:54105->172.64.153.51:443 (ESTABLISHED)
com.docke  1373  bob  165u  IPv4   0x866326a4f5871c      0t0  TCP 192.168.1.189:53436->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  167u  IPv4 0x8ea846e7a4a3a7f1      0t0  TCP 127.0.0.1:8102 (LISTEN)
com.docke  1373  bob  174u  IPv4 0x16ef8defee70fd3d      0t0  TCP 192.168.1.189:53724->18.154.101.112:443 (CLOSED)
com.docke  1373  bob  176u  IPv4 0xbd0bdb719a93341c      0t0  TCP 192.168.1.189:53024->104.18.33.249:443 (CLOSED)
com.docke  1373  bob  177u  IPv4 0x80778f93f7854e80      0t0  TCP 192.168.1.189:53725->18.154.101.112:443 (CLOSED)
com.docke  1373  bob  183u  IPv4 0x7362b94cea9f47f8      0t0  TCP 192.168.1.189:53820->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  184u  IPv4 0xa94ac0d38593307b      0t0  TCP 192.168.1.189:53025->3.169.202.24:443 (CLOSED)
com.docke  1373  bob  185u  IPv4 0x9213ef4e28d04b06      0t0  TCP 192.168.1.189:53026->3.169.202.24:443 (CLOSED)
com.docke  1373  bob  186u  IPv4 0xf989116a371fe09f      0t0  TCP 192.168.1.189:53027->104.26.12.87:443 (CLOSED)
com.docke  1373  bob  187u  IPv4 0xdf2358314644856c      0t0  TCP 192.168.1.189:53028->104.26.12.87:443 (CLOSED)
com.docke  1373  bob  188u  IPv4 0x1fc3b50355345319      0t0  TCP 192.168.1.189:53029->3.169.202.24:443 (CLOSED)
com.docke  1373  bob  189u  IPv4  0xb0e77cf646725f9      0t0  TCP 192.168.1.189:53030->3.169.202.24:443 (CLOSED)
com.docke  1373  bob  190u  IPv4 0x9d712203a0e32692      0t0  TCP 127.0.0.1:8430 (LISTEN)
com.docke  1373  bob  191u  IPv4 0xc41dea6c33557fae      0t0  TCP 192.168.1.189:53031->104.18.23.113:443 (CLOSED)
com.docke  1373  bob  195u  IPv4 0x4c4c8dee31a434d3      0t0  TCP 192.168.1.189:53110->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  196u  IPv4 0x98e506c81f9ed062      0t0  TCP 192.168.1.189:53726->18.154.101.112:443 (CLOSED)
com.docke  1373  bob  198u  IPv4 0xd408ee6bb8fb5e56      0t0  TCP 192.168.1.189:50440->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  209u  IPv4 0x5cf7f40730a504f4      0t0  TCP 127.0.0.1:8096 (LISTEN)
com.docke  1373  bob  215u  IPv4 0x1ffb1acfb0be00de      0t0  TCP 127.0.0.1:8092 (LISTEN)
com.docke  1373  bob  218u  IPv4 0x79f309bb4c571ef0      0t0  TCP 127.0.0.1:8097 (LISTEN)
com.docke  1373  bob  225u  IPv4 0x9b0dee72edcb4a1a      0t0  TCP 127.0.0.1:8765 (LISTEN)
com.docke  1373  bob  227u  IPv4 0x76b94a291565e4d7      0t0  TCP 127.0.0.1:8099 (LISTEN)
com.docke  1373  bob  236u  IPv4  0x6022877c60ddda5      0t0  TCP 192.168.1.189:50818->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  237u  IPv4 0xd9fa1519234ddec3      0t0  TCP 192.168.1.189:49979->104.18.22.113:443 (CLOSED)
com.docke  1373  bob  238u  IPv4 0x3f4b5864f8f99e30      0t0  TCP 192.168.1.189:49980->172.64.154.7:443 (CLOSED)
com.docke  1373  bob  269u  IPv4 0xa47cb721a623e04d      0t0  TCP 192.168.1.189:51457->18.154.101.91:443 (CLOSED)
com.docke  1373  bob  302u  IPv4 0xf190a0ddcfb2b510      0t0  TCP 192.168.1.189:49988->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  310u  IPv4 0x6c4687e71889514b      0t0  TCP 192.168.1.189:49971->151.101.65.140:443 (CLOSED)
com.docke  1373  bob  311u  IPv4 0xe480960194b928eb      0t0  TCP 192.168.1.189:52386->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  312u  IPv4 0x120d87191cda57bb      0t0  TCP 192.168.1.189:52312->18.154.101.112:443 (CLOSED)
com.docke  1373  bob  313u  IPv4 0x101d33359fd6ffae      0t0  TCP 192.168.1.189:51125->151.101.1.140:443 (CLOSED)
com.docke  1373  bob  314u  IPv4 0x161ae778c2b2b4eb      0t0  TCP 192.168.1.189:51458->18.154.101.91:443 (CLOSED)
com.docke  1373  bob  315u  IPv4 0xb3ab20dece7f4cb3      0t0  TCP 192.168.1.189:51461->172.64.154.7:443 (CLOSED)
com.docke  1373  bob  316u  IPv4 0xe08b84138888c8d6      0t0  TCP 192.168.1.189:51462->104.26.13.87:443 (CLOSED)
com.docke  1373  bob  318u  IPv4 0xf6ec36206f98a7e4      0t0  TCP 192.168.1.189:51459->18.154.101.91:443 (CLOSED)
com.docke  1373  bob  319u  IPv4 0xd88048f43c6bc40e      0t0  TCP 192.168.1.189:51460->18.154.101.91:443 (CLOSED)
com.docke  1373  bob  320u  IPv4 0xee0080760badc719      0t0  TCP 192.168.1.189:51463->104.18.22.113:443 (CLOSED)
com.docke  1373  bob  321u  IPv4 0x965b6b6b3b982a2c      0t0  TCP 192.168.1.189:51464->104.26.13.87:443 (CLOSED)
com.docke  1373  bob  324u  IPv4 0xe2c8a32802731dfb      0t0  TCP 192.168.1.189:51910->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  326u  IPv4  0x9e7277a21fe9d73      0t0  TCP 192.168.1.189:50768->104.18.22.113:443 (CLOSED)
com.docke  1373  bob  329u  IPv4 0x75130786c9bfafe8      0t0  TCP 192.168.1.189:50770->172.64.154.7:443 (CLOSED)
com.docke  1373  bob  330u  IPv4 0x78fed508dd922ab3      0t0  TCP 192.168.1.189:51880->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  332u  IPv4 0x89368c246a15b720      0t0  TCP 192.168.1.189:50771->18.154.101.112:443 (CLOSED)
com.docke  1373  bob  333u  IPv4 0x61a0e36564ae715c      0t0  TCP 192.168.1.189:50773->172.67.71.67:443 (CLOSED)
com.docke  1373  bob  334u  IPv4  0xab9f76b5263900d      0t0  TCP 192.168.1.189:50772->18.154.101.112:443 (CLOSED)
com.docke  1373  bob  336u  IPv4 0xd16214df29b1e42b      0t0  TCP 192.168.1.189:50774->172.67.71.67:443 (CLOSED)
com.docke  1373  bob  338u  IPv4 0x62e6e637ae63b647      0t0  TCP 192.168.1.189:50775->18.154.101.112:443 (CLOSED)
com.docke  1373  bob  341u  IPv4 0xd5b68b6a049df99b      0t0  TCP 192.168.1.189:49973->18.154.101.103:443 (CLOSED)
com.docke  1373  bob  349u  IPv4 0x12262c073e6da2fd      0t0  TCP 127.0.0.1:6379->127.0.0.1:54179 (ESTABLISHED)
com.docke  1373  bob  355u  IPv4 0x9c8892af2b6861f0      0t0  TCP 192.168.1.189:49974->172.67.71.67:443 (CLOSED)
com.docke  1373  bob  360u  IPv4 0x5c302649344daf48      0t0  TCP 192.168.1.189:53351->151.101.65.140:443 (CLOSED)
com.docke  1373  bob  362u  IPv4 0x52db97185f17bcdb      0t0  TCP 192.168.1.189:52311->151.101.129.140:443 (CLOSED)
com.docke  1373  bob  363u  IPv4 0x45b0e5123e41c287      0t0  TCP 192.168.1.189:52313->18.154.101.112:443 (CLOSED)
com.docke  1373  bob  365u  IPv4 0xb37af95ddee78336      0t0  TCP 192.168.1.189:52314->18.154.101.112:443 (CLOSED)
com.docke  1373  bob  366u  IPv4 0x37981b865d15137c      0t0  TCP 192.168.1.189:52315->104.26.13.87:443 (CLOSED)
com.docke  1373  bob  367u  IPv4 0xab50fbddba4e1b08      0t0  TCP 192.168.1.189:52316->104.18.33.249:443 (CLOSED)
com.docke  1373  bob  368u  IPv4 0xacd86f1032634643      0t0  TCP 192.168.1.189:52317->104.26.13.87:443 (CLOSED)
com.docke  1373  bob  369u  IPv4 0x5f445bdad527f705      0t0  TCP 192.168.1.189:51527->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  371u  IPv4 0xe5bd5d419a871ed2      0t0  TCP 192.168.1.189:52318->18.154.101.112:443 (CLOSED)
com.docke  1373  bob  372u  IPv4 0xcbd39d1fec52711d      0t0  TCP 192.168.1.189:49975->172.67.71.67:443 (CLOSED)
com.docke  1373  bob  373u  IPv4 0x48dcb6ecb7561dc2      0t0  TCP 192.168.1.189:52319->104.18.23.113:443 (CLOSED)
com.docke  1373  bob  377u  IPv4 0x38c781e6d0310cd8      0t0  TCP 192.168.1.189:53730->104.18.22.113:443 (ESTABLISHED)
com.docke  1373  bob  378u  IPv4 0x74b6f5b25548c752      0t0  TCP 192.168.1.189:53727->18.154.101.112:443 (CLOSED)
com.docke  1373  bob  379u  IPv4 0xdbf91470c0014005      0t0  TCP 192.168.1.189:53728->104.26.13.87:443 (ESTABLISHED)
com.docke  1373  bob  380u  IPv4 0x485de3b40bece8db      0t0  TCP 192.168.1.189:53729->104.26.13.87:443 (ESTABLISHED)
com.docke  1373  bob  381u  IPv4 0x482cdd65ac58c686      0t0  TCP 192.168.1.189:53731->104.18.33.249:443 (ESTABLISHED)
com.docke  1373  bob  382u  IPv4 0x2df6621d98438b64      0t0  TCP 192.168.1.189:49978->18.154.101.103:443 (CLOSED)
com.docke  1373  bob  383u  IPv4 0x59d326abe066e69e      0t0  TCP 192.168.1.189:54106->104.18.34.205:443 (ESTABLISHED)
com.docke  1373  bob  388u  IPv4 0xa1e6c941561ed5fb      0t0  TCP 192.168.1.189:49976->18.154.101.103:443 (CLOSED)
com.docke  1373  bob  389u  IPv4 0xfdc07d606d0ef3cb      0t0  TCP 192.168.1.189:49977->18.154.101.103:443 (CLOSED)
com.docke  1373  bob  395u  IPv4 0x47027039fe75d675      0t0  TCP 127.0.0.1:8101 (LISTEN)
com.docke  1373  bob  431u  IPv4 0x157a0af21840435f      0t0  TCP 192.168.1.189:53115->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  441u  IPv4 0xe56def2c3230cbcf      0t0  TCP 192.168.1.189:53433->40.119.12.71:443 (CLOSED)
com.docke  1373  bob  776u  IPv4 0x72b8fae2b4f32a13      0t0  TCP 127.0.0.1:8093 (LISTEN)
com.docke  1373  bob  778u  IPv4 0x2ddec1d6a393ae6c      0t0  TCP 127.0.0.1:8091 (LISTEN)
com.docke  1373  bob  779u  IPv4 0xd65c7ba6f3e092c7      0t0  TCP 127.0.0.1:8115 (LISTEN)
com.docke  1373  bob  780u  IPv4 0x7ddaa0d10f1bc3cb      0t0  TCP 127.0.0.1:8094 (LISTEN)
com.docke  1373  bob  781u  IPv4 0xa297069d6c2f627c      0t0  TCP 127.0.0.1:6379 (LISTEN)
sshd-sess  1947  bob    7u  IPv4 0xfab2d971a96eb2c4      0t0  TCP 192.168.1.189:22->192.168.1.104:51768 (ESTABLISHED)
sshd-sess  1947  bob    8u  IPv4 0xfab2d971a96eb2c4      0t0  TCP 192.168.1.189:22->192.168.1.104:51768 (ESTABLISHED)
claude.ex  1968  bob   14u  IPv4 0x2ff11b9ef9a0b5ba      0t0  TCP 192.168.1.189:53748->34.149.66.137:443 (ESTABLISHED)
claude.ex  1968  bob   16u  IPv4 0x955433f85dfc7096      0t0  TCP 192.168.1.189:50135->160.79.104.10:443 (ESTABLISHED)
